business_postal_code,Unnamed: 0,population ,avg_income,inspection_id,inspection_date,inspection_score,inspection_type,violation_description,risk_category,Neighborhoods,Current Police Districts
94127,1,20624,95313,994_20171010,10/10/2017 12:00:00 AM,96.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk,95.0,9.0
94127,1,20624,95313,3677_20170914,09/14/2017 12:00:00 AM,90.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk,72.0,9.0
94127,1,20624,95313,1702_20171130,11/30/2017 12:00:00 AM,73.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk,46.0,10.0
94127,1,20624,95313,3659_20180108,01/08/2018 12:00:00 AM,92.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,46.0,10.0
94127,1,20624,95313,17723_20180222,02/22/2018 12:00:00 AM,84.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,117.0,9.0
94127,1,20624,95313,37482_20180222,02/22/2018 12:00:00 AM,92.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,46.0,10.0
94127,1,20624,95313,1700_20161116,11/16/2016 12:00:00 AM,89.0,Routine - Unscheduled,High risk food holding temperature,High Risk,46.0,10.0
94127,1,20624,95313,2808_20170621,06/21/2017 12:00:00 AM,81.0,Routine - Unscheduled,High risk food holding temperature,High Risk,67.0,10.0
94127,1,20624,95313,587_20181203,12/03/2018 12:00:00 AM,70.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,46.0,10.0
94127,1,20624,95313,4630_20170304,03/04/2017 12:00:00 AM,96.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,67.0,10.0
94127,1,20624,95313,60484_20181101,11/01/2018 12:00:00 AM,81.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk,46.0,10.0
94127,1,20624,95313,3677_20170914,09/14/2017 12:00:00 AM,90.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,72.0,9.0
94127,1,20624,95313,19138_20190808,08/08/2019 12:00:00 AM,89.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk,68.0,10.0
94127,1,20624,95313,4539_20171101,11/01/2017 12:00:00 AM,92.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk,46.0,10.0
94127,1,20624,95313,38798_20180807,08/07/2018 12:00:00 AM,92.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,95.0,9.0
94127,1,20624,95313,5797_20161006,10/06/2016 12:00:00 AM,98.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,63.0,10.0
94127,1,20624,95313,2808_20190710,07/10/2019 12:00:00 AM,70.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,67.0,10.0
94127,1,20624,95313,1486_20170913,09/13/2017 12:00:00 AM,98.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,72.0,9.0
94127,1,20624,95313,19138_20170302,03/02/2017 12:00:00 AM,89.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,68.0,10.0
94127,1,20624,95313,60484_20180111,01/11/2018 12:00:00 AM,86.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk,46.0,10.0
94127,1,20624,95313,2808_20170621,06/21/2017 12:00:00 AM,81.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk,67.0,10.0
94127,1,20624,95313,1950_20171115,11/15/2017 12:00:00 AM,90.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk,46.0,10.0
94127,1,20624,95313,1963_20171101,11/01/2017 12:00:00 AM,92.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,46.0,10.0
94127,1,20624,95313,5819_20171108,11/08/2017 12:00:00 AM,96.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,72.0,9.0
94127,1,20624,95313,3260_20170523,05/23/2017 12:00:00 AM,96.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,68.0,10.0
94127,1,20624,95313,3677_20190918,09/18/2019 12:00:00 AM,90.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,72.0,9.0
94127,1,20624,95313,17723_20181212,12/12/2018 12:00:00 AM,69.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk,117.0,9.0
94127,1,20624,95313,19138_20190204,02/04/2019 12:00:00 AM,82.0,Routine - Unscheduled,Improper thawing methods,Moderate Risk,68.0,10.0
94127,1,20624,95313,2808_20190710,07/10/2019 12:00:00 AM,70.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk,67.0,10.0
94127,1,20624,95313,17723_20181212,12/12/2018 12:00:00 AM,69.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,117.0,9.0
94127,1,20624,95313,7744_20190228,02/28/2019 12:00:00 AM,96.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,95.0,9.0
94127,1,20624,95313,587_20180131,01/31/2018 12:00:00 AM,88.0,Routine - Unscheduled,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,46.0,10.0
94127,1,20624,95313,37482_20180222,02/22/2018 12:00:00 AM,92.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk,46.0,10.0
94127,1,20624,95313,994_20171010,10/10/2017 12:00:00 AM,96.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,95.0,9.0
94127,1,20624,95313,5796_20170209,02/09/2017 12:00:00 AM,87.0,Routine - Unscheduled,No thermometers or uncalibrated thermometers,Low Risk,63.0,10.0
94127,1,20624,95313,587_20181203,12/03/2018 12:00:00 AM,70.0,Routine - Unscheduled,Improper storage use or identification of toxic substances,Low Risk,46.0,10.0
94127,1,20624,95313,741_20190128,01/28/2019 12:00:00 AM,87.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk,46.0,10.0
94127,1,20624,95313,1702_20180911,09/11/2018 12:00:00 AM,86.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,46.0,10.0
94127,1,20624,95313,1702_20171130,11/30/2017 12:00:00 AM,73.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,46.0,10.0
94127,1,20624,95313,2808_20170621,06/21/2017 12:00:00 AM,81.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,67.0,10.0
94127,1,20624,95313,1700_20161116,11/16/2016 12:00:00 AM,89.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,46.0,10.0
94127,1,20624,95313,994_20190111,01/11/2019 12:00:00 AM,92.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk,95.0,9.0
94127,1,20624,95313,3677_20190918,09/18/2019 12:00:00 AM,90.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk,72.0,9.0
94127,1,20624,95313,19138_20190808,08/08/2019 12:00:00 AM,89.0,Routine - Unscheduled,High risk food holding temperature,High Risk,68.0,10.0
94127,1,20624,95313,3678_20180725,07/25/2018 12:00:00 AM,96.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,72.0,9.0
94127,1,20624,95313,3677_20190918,09/18/2019 12:00:00 AM,90.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,72.0,9.0
94127,1,20624,95313,37482_20190109,01/09/2019 12:00:00 AM,85.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,46.0,10.0
94127,1,20624,95313,3659_20181011,10/11/2018 12:00:00 AM,98.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,46.0,10.0
94127,1,20624,95313,587_20181203,12/03/2018 12:00:00 AM,70.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk,46.0,10.0
94127,1,20624,95313,17723_20180222,02/22/2018 12:00:00 AM,84.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,117.0,9.0
94127,1,20624,95313,5819_20171108,11/08/2017 12:00:00 AM,96.0,Routine - Unscheduled,Improper food storage,Low Risk,72.0,9.0
94127,1,20624,95313,37482_20180222,02/22/2018 12:00:00 AM,92.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,46.0,10.0
94127,1,20624,95313,741_20180222,02/22/2018 12:00:00 AM,94.0,Routine - Unscheduled,Inadequate procedures or records for time as a public health control,Moderate Risk,46.0,10.0
94127,1,20624,95313,60484_20180111,01/11/2018 12:00:00 AM,86.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,46.0,10.0
94127,1,20624,95313,19138_20170302,03/02/2017 12:00:00 AM,89.0,Routine - Unscheduled,Improper cooling methods,High Risk,68.0,10.0
94127,1,20624,95313,2808_20170621,06/21/2017 12:00:00 AM,81.0,Routine - Unscheduled,Improper thawing methods,Moderate Risk,67.0,10.0
94127,1,20624,95313,1700_20161116,11/16/2016 12:00:00 AM,89.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,46.0,10.0
94127,1,20624,95313,17723_20181212,12/12/2018 12:00:00 AM,69.0,Routine - Unscheduled,Improper storage of equipment utensils or linens,Low Risk,117.0,9.0
94127,1,20624,95313,5797_20180208,02/08/2018 12:00:00 AM,98.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,63.0,10.0
94127,1,20624,95313,2808_20190710,07/10/2019 12:00:00 AM,70.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk,67.0,10.0
94127,1,20624,95313,38798_20180807,08/07/2018 12:00:00 AM,92.0,Routine - Unscheduled,Unclean unmaintained or improperly constructed toilet facilities,Low Risk,95.0,9.0
94127,1,20624,95313,2808_20190103,01/03/2019 12:00:00 AM,74.0,Routine - Unscheduled,Improper thawing methods,Moderate Risk,67.0,10.0
94127,1,20624,95313,1963_20180924,09/24/2018 12:00:00 AM,96.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk,46.0,10.0
94127,1,20624,95313,1702_20171130,11/30/2017 12:00:00 AM,73.0,Routine - Unscheduled,Improper cooling methods,High Risk,46.0,10.0
94127,1,20624,95313,1963_20171101,11/01/2017 12:00:00 AM,92.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk,46.0,10.0
94127,1,20624,95313,2808_20190710,07/10/2019 12:00:00 AM,70.0,Routine - Unscheduled,Improper food storage,Low Risk,67.0,10.0
94127,1,20624,95313,4542_20171206,12/06/2017 12:00:00 AM,91.0,Routine - Unscheduled,High risk vermin infestation,High Risk,46.0,10.0
94127,1,20624,95313,19138_20190204,02/04/2019 12:00:00 AM,82.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk,68.0,10.0
94127,1,20624,95313,2808_20170621,06/21/2017 12:00:00 AM,81.0,Routine - Unscheduled,Improper food storage,Low Risk,67.0,10.0
94127,1,20624,95313,3678_20180725,07/25/2018 12:00:00 AM,96.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,72.0,9.0
94127,1,20624,95313,1950_20171115,11/15/2017 12:00:00 AM,90.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk,46.0,10.0
94127,1,20624,95313,1702_20171130,11/30/2017 12:00:00 AM,73.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,46.0,10.0
94127,1,20624,95313,5797_20170209,02/09/2017 12:00:00 AM,92.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,63.0,10.0
94127,1,20624,95313,17723_20181212,12/12/2018 12:00:00 AM,69.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk,117.0,9.0
94127,1,20624,95313,60484_20180111,01/11/2018 12:00:00 AM,86.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,46.0,10.0
94127,1,20624,95313,3260_20190422,04/22/2019 12:00:00 AM,98.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,68.0,10.0
94127,1,20624,95313,4539_20171101,11/01/2017 12:00:00 AM,92.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk,46.0,10.0
94127,1,20624,95313,5796_20170209,02/09/2017 12:00:00 AM,87.0,Routine - Unscheduled,High risk food holding temperature,High Risk,63.0,10.0
94127,1,20624,95313,3677_20170914,09/14/2017 12:00:00 AM,90.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk,72.0,9.0
94127,1,20624,95313,587_20181203,12/03/2018 12:00:00 AM,70.0,Routine - Unscheduled,Improper thawing methods,Moderate Risk,46.0,10.0
94127,1,20624,95313,60484_20181101,11/01/2018 12:00:00 AM,81.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,46.0,10.0
94127,1,20624,95313,1700_20190128,01/28/2019 12:00:00 AM,96.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk,46.0,10.0
94127,1,20624,95313,741_20190128,01/28/2019 12:00:00 AM,87.0,Routine - Unscheduled,Unauthorized or unsafe use of time as a public health control measure,High Risk,46.0,10.0
94127,1,20624,95313,2808_20190103,01/03/2019 12:00:00 AM,74.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk,67.0,10.0
94127,1,20624,95313,741_20190128,01/28/2019 12:00:00 AM,87.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,46.0,10.0
94127,1,20624,95313,587_20180131,01/31/2018 12:00:00 AM,88.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,46.0,10.0
94127,1,20624,95313,5797_20170926,09/26/2017 12:00:00 AM,98.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,63.0,10.0
94127,1,20624,95313,3260_20180320,03/20/2018 12:00:00 AM,94.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,68.0,10.0
94127,1,20624,95313,3677_20190918,09/18/2019 12:00:00 AM,90.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk,72.0,9.0
94127,1,20624,95313,3678_20170920,09/20/2017 12:00:00 AM,94.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk,72.0,9.0
94127,1,20624,95313,5797_20170209,02/09/2017 12:00:00 AM,92.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk,63.0,10.0
94127,1,20624,95313,17723_20180222,02/22/2018 12:00:00 AM,84.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk,117.0,9.0
94127,1,20624,95313,1950_20180924,09/24/2018 12:00:00 AM,92.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk,46.0,10.0
94127,1,20624,95313,19138_20170302,03/02/2017 12:00:00 AM,89.0,Routine - Unscheduled,Improper food storage,Low Risk,68.0,10.0
94127,1,20624,95313,1702_20171130,11/30/2017 12:00:00 AM,73.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,46.0,10.0
94127,1,20624,95313,17723_20181212,12/12/2018 12:00:00 AM,69.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk,117.0,9.0
94127,1,20624,95313,4542_20171206,12/06/2017 12:00:00 AM,91.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk,46.0,10.0
94127,1,20624,95313,37482_20190109,01/09/2019 12:00:00 AM,85.0,Routine - Unscheduled,Improper food storage,Low Risk,46.0,10.0
94127,1,20624,95313,38798_20161005,10/05/2016 12:00:00 AM,96.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,95.0,9.0
94127,1,20624,95313,1702_20171130,11/30/2017 12:00:00 AM,73.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk,46.0,10.0
94127,1,20624,95313,1700_20190128,01/28/2019 12:00:00 AM,96.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,46.0,10.0
94127,1,20624,95313,60484_20180111,01/11/2018 12:00:00 AM,86.0,Routine - Unscheduled,Improper or defective plumbing,Low Risk,46.0,10.0
94127,1,20624,95313,1702_20180911,09/11/2018 12:00:00 AM,86.0,Routine - Unscheduled,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,46.0,10.0
94127,1,20624,95313,2808_20190710,07/10/2019 12:00:00 AM,70.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk,67.0,10.0
94127,1,20624,95313,60484_20181101,11/01/2018 12:00:00 AM,81.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,46.0,10.0
94127,1,20624,95313,3678_20170920,09/20/2017 12:00:00 AM,94.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,72.0,9.0
94127,1,20624,95313,3260_20170523,05/23/2017 12:00:00 AM,96.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,68.0,10.0
94127,1,20624,95313,38798_20170928,09/28/2017 12:00:00 AM,94.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,95.0,9.0
94127,1,20624,95313,5796_20170209,02/09/2017 12:00:00 AM,87.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,63.0,10.0
94127,1,20624,95313,38798_20161005,10/05/2016 12:00:00 AM,96.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,95.0,9.0
94127,1,20624,95313,587_20181203,12/03/2018 12:00:00 AM,70.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk,46.0,10.0
94127,1,20624,95313,2808_20190710,07/10/2019 12:00:00 AM,70.0,Routine - Unscheduled,No thermometers or uncalibrated thermometers,Low Risk,67.0,10.0
94127,1,20624,95313,1702_20171130,11/30/2017 12:00:00 AM,73.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk,46.0,10.0
94127,1,20624,95313,37482_20190109,01/09/2019 12:00:00 AM,85.0,Routine - Unscheduled,Unclean hands or improper use of gloves,High Risk,46.0,10.0
94127,1,20624,95313,2808_20190103,01/03/2019 12:00:00 AM,74.0,Routine - Unscheduled,Improper food storage,Low Risk,67.0,10.0
94127,1,20624,95313,2808_20190103,01/03/2019 12:00:00 AM,74.0,Routine - Unscheduled,High risk food holding temperature,High Risk,67.0,10.0
94127,1,20624,95313,60484_20181101,11/01/2018 12:00:00 AM,81.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk,46.0,10.0
94127,1,20624,95313,3677_20180718,07/18/2018 12:00:00 AM,94.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk,72.0,9.0
94127,1,20624,95313,17723_20180222,02/22/2018 12:00:00 AM,84.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,117.0,9.0
94127,1,20624,95313,17723_20181212,12/12/2018 12:00:00 AM,69.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk,117.0,9.0
94127,1,20624,95313,5796_20180209,02/09/2018 12:00:00 AM,94.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk,63.0,10.0
94127,1,20624,95313,1950_20171115,11/15/2017 12:00:00 AM,90.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,46.0,10.0
94127,1,20624,95313,17723_20181212,12/12/2018 12:00:00 AM,69.0,Routine - Unscheduled,Improper thawing methods,Moderate Risk,117.0,9.0
94127,1,20624,95313,70838_20180111,01/11/2018 12:00:00 AM,81.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,46.0,10.0
94127,1,20624,95313,68159_20170913,09/13/2017 12:00:00 AM,75.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,72.0,9.0
94127,1,20624,95313,68159_20180725,07/25/2018 12:00:00 AM,88.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk,72.0,9.0
94127,1,20624,95313,71909_20190830,08/30/2019 12:00:00 AM,82.0,Routine - Unscheduled,Improper thawing methods,Moderate Risk,95.0,9.0
94127,1,20624,95313,70838_20181025,10/25/2018 12:00:00 AM,90.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,46.0,10.0
94127,1,20624,95313,68159_20170913,09/13/2017 12:00:00 AM,75.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk,72.0,9.0
94127,1,20624,95313,68257_20170914,09/14/2017 12:00:00 AM,94.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk,72.0,9.0
94127,1,20624,95313,70434_20180111,01/11/2018 12:00:00 AM,90.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk,46.0,10.0
94127,1,20624,95313,70838_20180111,01/11/2018 12:00:00 AM,81.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk,46.0,10.0
94127,1,20624,95313,71909_20190220,02/20/2019 12:00:00 AM,88.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk,95.0,9.0
94127,1,20624,95313,71909_20190830,08/30/2019 12:00:00 AM,82.0,Routine - Unscheduled,Foods not protected from contamination,Moderate Risk,95.0,9.0
94127,1,20624,95313,71909_20161005,10/05/2016 12:00:00 AM,86.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,95.0,9.0
